Resolution,Left-Top,Right-Bottom,Active,Disconnected,Primary,Colors,Frequency,Orientation,Maximum Resolution,Current Scale,Maximum Scale,Name,Adapter,Device ID,Device Key,Monitor ID,Short Monitor ID,Monitor Key,Monitor String,Monitor Name,Monitor Serial Number
1080 X 1920,"-1080, -477","0, 1443",Yes,Yes,No,32,60,90 Degrees,1200 X 1600,100%,175%,\\.\DISPLAY1,NVIDIA GeForce RTX 3080,PCI\VEN_10DE&DEV_2216&SUBSYS_138B196E&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{8B05BC9C-97FA-11F1-AA85-806E6F6E6963}\0000,,,,,,
2560 X 1440,"0, 0","2560, 1440",Yes,No,Yes,32,260,Default,2560 X 1440,100%,225%,\\.\DISPLAY2,NVIDIA GeForce RTX 3080,PCI\VEN_10DE&DEV_2216&SUBSYS_138B196E&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{8B05BC9C-97FA-11F1-AA85-806E6F6E6963}\0001,MONITOR\PHLC401\{4d36e96e-e325-11ce-bfc1-08002be10318}\0005,PHLC401,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0005,Generic PnP Monitor,,
